종목명,종목코드,시장,섹터코드,섹터명
S-Oil,010950,KOSPI,S10,에너지·자원
S-Oil우,010955,KOSPI,S10,에너지·자원
SK가스,018670,KOSPI,S10,에너지·자원
SK이노베이션,096770,KOSPI,S10,에너지·자원
SK이노베이션우,096775,KOSPI,S10,에너지·자원
경동도시가스,267290,KOSPI,S10,에너지·자원
서울가스,017390,KOSPI,S10,에너지·자원
인천도시가스,034590,KOSPI,S10,에너지·자원
한국가스공사,036460,KOSPI,S10,에너지·자원
한국전력,015760,KOSPI,S10,에너지·자원
삼진식품,0013V0,KOSDAQ,S11,유통·소비재
CJ제일제당,097950,KOSPI,S11,유통·소비재
CJ제일제당 우,097955,KOSPI,S11,유통·소비재
KT&G,033780,KOSPI,S11,유통·소비재
농심,004370,KOSPI,S11,유통·소비재
농심홀딩스,072710,KOSPI,S11,유통·소비재
롯데쇼핑,023530,KOSPI,S11,유통·소비재
롯데하이마트,071840,KOSPI,S11,유통·소비재
삼양식품,003230,KOSPI,S11,유통·소비재
샘표식품,248170,KOSPI,S11,유통·소비재
서울식품,004410,KOSPI,S11,유통·소비재
서울식품우,004415,KOSPI,S11,유통·소비재
오뚜기,007310,KOSPI,S11,유통·소비재
이마트,139480,KOSPI,S11,유통·소비재
해태제과식품,101530,KOSPI,S11,유통·소비재
현대홈쇼핑,057050,KOSPI,S11,유통·소비재
기산텔레콤,035460,KOSDAQ,S12,통신·인프라
나이스정보통신,036800,KOSDAQ,S12,통신·인프라
대신정보통신,020180,KOSDAQ,S12,통신·인프라
대한광통신,010170,KOSDAQ,S12,통신·인프라
서울전자통신,027040,KOSDAQ,S12,통신·인프라
세종텔레콤,036630,KOSDAQ,S12,통신·인프라
한국정보통신,025770,KOSDAQ,S12,통신·인프라
KT,030200,KOSPI,S12,통신·인프라
LG유플러스,032640,KOSPI,S12,통신·인프라
SK텔레콤,017670,KOSPI,S12,통신·인프라
3S,060310,KOSDAQ,S99,기타
APS,054620,KOSDAQ,S99,기타
APS이노베이션,079810,KOSDAQ,S99,기타
AP시스템,265520,KOSDAQ,S99,기타
AP위성,211270,KOSDAQ,S99,기타
BGF에코머티리얼즈,126600,KOSDAQ,S99,기타
CG인바이츠,083790,KOSDAQ,S99,기타
CJ ENM,035760,KOSDAQ,S99,기타
CJ프레시웨이,051500,KOSDAQ,S99,기타
CNT85,056730,KOSDAQ,S99,기타
CS,065770,KOSDAQ,S99,기타
CSA 코스믹,083660,KOSDAQ,S99,기타
DGI,099520,KOSDAQ,S99,기타
DMS,068790,KOSDAQ,S99,기타
DSC인베스트먼트,241520,KOSDAQ,S99,기타
DXVX,180400,KOSDAQ,S99,기타
E8,418620,KOSDAQ,S99,기타
EDGC,245620,KOSDAQ,S99,기타
EG,037370,KOSDAQ,S99,기타
ES큐브,050120,KOSDAQ,S99,기타
FSN,214270,KOSDAQ,S99,기타
GC메디아이,032620,KOSDAQ,S99,기타
GRT,900290,KOSDAQ,S99,기타
GST,083450,KOSDAQ,S99,기타
HB솔루션,297890,KOSDAQ,S99,기타
HB인베스트먼트,440290,KOSDAQ,S99,기타
HB테크놀러지,078150,KOSDAQ,S99,기타
HC보광산업,225530,KOSDAQ,S99,기타
HC홈센타,060560,KOSDAQ,S99,기타
HEM파마,376270,KOSDAQ,S99,기타
HK이노엔,195940,KOSDAQ,S99,기타
HLB생명과학,067630,KOSDAQ,S99,기타
HLB이노베이션,024850,KOSDAQ,S99,기타
HLB제넥스,187420,KOSDAQ,S99,기타
HLB테라퓨틱스,115450,KOSDAQ,S99,기타
HLB파나진,046210,KOSDAQ,S99,기타
HLB펩,196300,KOSDAQ,S99,기타
HRS,036640,KOSDAQ,S99,기타
IBKS제23호스팩,467930,KOSDAQ,S99,기타
IBKS제24호스팩,469480,KOSDAQ,S99,기타
IBKS제25호스팩,0099X0,KOSDAQ,S99,기타
ISC,095340,KOSDAQ,S99,기타
JTC,950170,KOSDAQ,S99,기타
JW신약,067290,KOSDAQ,S99,기타
JYP Ent.,035900,KOSDAQ,S99,기타
KBG,318000,KOSDAQ,S99,기타
KBI메탈,024840,KOSDAQ,S99,기타
KB제29호스팩,478390,KOSDAQ,S99,기타
KB제30호스팩,486630,KOSDAQ,S99,기타
KB제31호스팩,492220,KOSDAQ,S99,기타
KB제32호스팩,0037T0,KOSDAQ,S99,기타
